Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Time required to start a business (days),IC.REG.DURS,Mexico,MEX,..,..,..,6.3,6.3
Time required to start a business (days),IC.REG.DURS,"Micronesia, Fed. Sts.",FSM,16,16,16,16,16
Time required to start a business (days),IC.REG.DURS,Moldova,MDA,10,9,9,7,6
Time required to start a business (days),IC.REG.DURS,Monaco,MCO,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Mongolia,MNG,13,13,12,11,11
Time required to start a business (days),IC.REG.DURS,Montenegro,MNE,10,10,10,10,10
Time required to start a business (days),IC.REG.DURS,Morocco,MAR,12,12,12,11,11
Time required to start a business (days),IC.REG.DURS,Mozambique,MOZ,19,19,19,19,19
Time required to start a business (days),IC.REG.DURS,Myanmar,MMR,..,..,74,74,74
Time required to start a business (days),IC.REG.DURS,Namibia,NAM,66,66,66,66,66
Time required to start a business (days),IC.REG.DURS,Nepal,NPL,31,29,29,17,17
Time required to start a business (days),IC.REG.DURS,Netherlands,NLD,8,8,5,4,4
Time required to start a business (days),IC.REG.DURS,New Caledonia,NCL,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,New Zealand,NZL,0.5,0.5,0.5,0.5,0.5
Time required to start a business (days),IC.REG.DURS,Nicaragua,NIC,39,39,39,36,13
Time required to start a business (days),IC.REG.DURS,Niger,NER,17,17,17,17,15
Time required to start a business (days),IC.REG.DURS,Nigeria,NGA,..,..,..,30.8,30.8
Time required to start a business (days),IC.REG.DURS,Northern Mariana Islands,MNP,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Norway,NOR,6,6,6,6,5
Time required to start a business (days),IC.REG.DURS,Oman,OMN,11,7,7,7,7
Time required to start a business (days),IC.REG.DURS,Pakistan,PAK,..,..,..,19,19
Time required to start a business (days),IC.REG.DURS,Palau,PLW,28,28,28,28,28
Time required to start a business (days),IC.REG.DURS,Panama,PAN,9,8,7,6,6
Time required to start a business (days),IC.REG.DURS,Papua New Guinea,PNG,52,52,52,53,53
Time required to start a business (days),IC.REG.DURS,Paraguay,PRY,35,35,35,35,35
Time required to start a business (days),IC.REG.DURS,Peru,PER,27,26,26,26,26
Time required to start a business (days),IC.REG.DURS,Philippines,PHL,37,36,36,36,34
Time required to start a business (days),IC.REG.DURS,Poland,POL,32,32,32,30,30
Time required to start a business (days),IC.REG.DURS,Portugal,PRT,4.5,3.5,3.5,2.5,2.5
Time required to start a business (days),IC.REG.DURS,Puerto Rico,PRI,7,6,6,6,6
Time required to start a business (days),IC.REG.DURS,Qatar,QAT,9.5,8.5,8.5,8.5,8.5
Time required to start a business (days),IC.REG.DURS,Romania,ROM,9,13.5,9.5,8.5,8
Time required to start a business (days),IC.REG.DURS,Russian Federation,RUS,..,..,..,12.9,11.2
Time required to start a business (days),IC.REG.DURS,Rwanda,RWA,7,7,8,7,6.5
Time required to start a business (days),IC.REG.DURS,Samoa,WSM,9,9,9,9,9
Time required to start a business (days),IC.REG.DURS,San Marino,SMR,..,..,40,40,40
Time required to start a business (days),IC.REG.DURS,Sao Tome and Principe,STP,144,10,5,6,5
Time required to start a business (days),IC.REG.DURS,Saudi Arabia,SAU,23,23,20,20.5,20.5
Time required to start a business (days),IC.REG.DURS,Senegal,SEN,9,6,6,6,6
Time required to start a business (days),IC.REG.DURS,Serbia,SRB,13,13,12,12,12
Time required to start a business (days),IC.REG.DURS,Seychelles,SYC,33,33,33,32,32
Time required to start a business (days),IC.REG.DURS,Sierra Leone,SLE,12,12,12,12,12
Time required to start a business (days),IC.REG.DURS,Singapore,SGP,2.5,2.5,2.5,2.5,2.5
Time required to start a business (days),IC.REG.DURS,Sint Maarten (Dutch part),SXM,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Slovak Republic,SVK,17.5,17.5,13.5,18.5,11.5
Time required to start a business (days),IC.REG.DURS,Slovenia,SVN,6,6,6,6,6
Time required to start a business (days),IC.REG.DURS,Solomon Islands,SLB,55,41,7,9,9
Time required to start a business (days),IC.REG.DURS,Somalia,SOM,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,South Africa,ZAF,22,19,19,19,46
Time required to start a business (days),IC.REG.DURS,South Sudan,SSD,..,..,14,14,14
Time required to start a business (days),IC.REG.DURS,Spain,ESP,52,29,30,24,14
Time required to start a business (days),IC.REG.DURS,Sri Lanka,LKA,38,35,11,11,11
Time required to start a business (days),IC.REG.DURS,St. Kitts and Nevis,KNA,19,19,19,18.5,18.5
Time required to start a business (days),IC.REG.DURS,St. Lucia,LCA,14,11,11,11,11
Time required to start a business (days),IC.REG.DURS,St. Martin (French part),MAF,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,St. Vincent and the Grenadines,VCT,10,10,10,10,10
Time required to start a business (days),IC.REG.DURS,Sudan,SDN,35,35,35,36,36
Time required to start a business (days),IC.REG.DURS,Suriname,SUR,690,690,690,204,84
Time required to start a business (days),IC.REG.DURS,Swaziland,SWZ,56,56,56,38,30
Time required to start a business (days),IC.REG.DURS,Sweden,SWE,16,16,16,16,16
Time required to start a business (days),IC.REG.DURS,Switzerland,CHE,18,18,18,18,10
Time required to start a business (days),IC.REG.DURS,Syrian Arab Republic,SYR,13,13,13,13,13
Time required to start a business (days),IC.REG.DURS,Tajikistan,TJK,16,13,13,22,28
Time required to start a business (days),IC.REG.DURS,Tanzania,TZA,29,29,26,26,26
Time required to start a business (days),IC.REG.DURS,Thailand,THA,32,29,29,27.5,27.5
Time required to start a business (days),IC.REG.DURS,Timor-Leste,TMP,110,94,94,94,10
Time required to start a business (days),IC.REG.DURS,Togo,TGO,84,84,38,19,10
Time required to start a business (days),IC.REG.DURS,Tonga,TON,25,16,16,16,16
Time required to start a business (days),IC.REG.DURS,Trinidad and Tobago,TTO,40,40,40,35.5,11.5
Time required to start a business (days),IC.REG.DURS,Tunisia,TUN,11,11,11,11,11
Time required to start a business (days),IC.REG.DURS,Turkey,TUR,7,7,7,7,7.5
Time required to start a business (days),IC.REG.DURS,Turkmenistan,TKM,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Turks and Caicos Islands,TCA,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Tuvalu,TUV,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Uganda,UGA,24,33,36,35,35
Time required to start a business (days),IC.REG.DURS,Ukraine,UKR,27,24,22,21,21
Time required to start a business (days),IC.REG.DURS,United Arab Emirates,ARE,15,13,8,8,8
Time required to start a business (days),IC.REG.DURS,United Kingdom,GBR,11.5,11.5,11.5,11.5,6
Time required to start a business (days),IC.REG.DURS,United States,USA,..,..,..,6.2,5.6
Time required to start a business (days),IC.REG.DURS,Uruguay,URY,64,6.5,6.5,6.5,6.5
Time required to start a business (days),IC.REG.DURS,Uzbekistan,UZB,15,14,12,8.5,8.5
Time required to start a business (days),IC.REG.DURS,Vanuatu,VUT,47,33,33,35,35
Time required to start a business (days),IC.REG.DURS,"Venezuela, RB",VEN,141,141,144,144,144
Time required to start a business (days),IC.REG.DURS,Vietnam,VNM,36,36,32,34,34
Time required to start a business (days),IC.REG.DURS,Virgin Islands (U.S.),VIR,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,West Bank and Gaza,WBG,48,47,47,45,44
Time required to start a business (days),IC.REG.DURS,"Yemen, Rep.",YEM,12,12,40,40,40
Time required to start a business (days),IC.REG.DURS,Zambia,ZMB,18,18,17.5,7.5,7.5
Time required to start a business (days),IC.REG.DURS,Zimbabwe,ZWE,86,86,86,90,90
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 04/11/2016,,,,,,,,
