X,Y
48.86360187,-2.59E+12
-1.474926007,-23387646277
-38.27372608,4.45E+11
35.80859163,-3.74E+11
-15.80242076,80860454172
-18.36208658,38646017443
-12.24728537,21112908454
36.98816633,-3.07E+11
3.143326812,11345367772
-47.48444908,2.14E+12
-25.16447525,6932664424
22.36804841,22185150932
-6.761882175,98199781285
-23.85494172,52925417870
-31.05909378,98379233729
-28.55219858,61498717051
-0.510541822,21170201257
-46.69991679,1.92E+12
-12.73757392,-77122035894
-14.33233273,-36660525006
-22.52934613,-23286969551
-23.5601077,-37787143696
24.45153788,-47201384454
-36.83162492,3.70E+11
30.30840032,-1.42E+11
-19.55969401,-10561537736
-15.71537916,44609320136
15.93411843,24023123482
-46.10355124,1.79E+12
27.21428388,-51965502968
19.00845793,21445292902
42.72454455,-1.07E+12
-43.79814153,1.23E+12
18.74666197,-1.17E+11
22.56948864,3983023832
34.65294033,-3.40E+11
5.380007402,-37669543625
34.23967448,-1.55E+11
-45.10811122,1.60E+12
25.88044442,47082154650
17.59998741,-56628967643
37.44290943,-4.51E+11
-16.90567643,-5326413002
1.849966946,2103487452
-4.605479431,-4874306049
-32.04969328,1.78E+11
34.73994572,-2.44E+11
-45.35740254,1.63E+12
2.359607192,18760341651
-26.72963707,52514424569
40.3273904,-7.17E+11
4.125696535,22793204245
-40.13150265,7.15E+11
35.70836314,-2.28E+11
-45.72620308,1.70E+12
-35.79582516,2.23E+11
-28.25023502,1.50E+11
27.74620745,-78375235044
-14.23940485,35725040359
-47.46762219,2.03E+12
33.37796092,-61321989371
-13.68021867,-57959724237
28.85618031,-1.02E+11
37.96596634,-4.71E+11
17.65078408,13173885337
4.52440622,-52953299395
39.88888535,-5.93E+11
-40.05065289,5.60E+11
-40.90607083,7.65E+11
-46.57606676,1.91E+12
-17.58257718,-13358347300
-33.39342414,94114800731
49.80785949,-3.02E+12
-8.451479872,-47765295167
25.43333844,5314460568
19.33134974,-15895824835
27.0644011,-1806123350
41.22600835,-7.73E+11
-18.93202319,16464945556
-29.52829312,90397986884
-42.7121182,1.02E+12
8.720068617,34893890868
4.248662108,-44950192301
14.40858184,-7682027485
9.800525956,-5869431525
-4.998026812,-21379682773
-33.74498195,1.79E+11
26.4920734,-64400054451
48.33003325,-2.44E+12
-35.68535554,3.67E+11
32.77033754,-1.07E+11
38.11328012,-5.33E+11
-42.95497224,1.09E+12
-2.213465382,19709761720
23.87547943,-60698614583
23.37369089,-23177356077
31.62452773,-92590852597
3.348006086,-48406136709
6.083339645,-1578649607
-15.3473909,46694592136
5.075564741,-4937562937
-47.88972909,2.36E+12
23.67712129,6548927811
33.39717388,-2.19E+11
33.63196595,-1.21E+11
-46.68796321,1.94E+12
41.21723438,-8.77E+11
-40.50748217,6.76E+11
35.09080086,-3.13E+11
2.219981949,-1.16E+11
-48.36335443,2.47E+12
-37.08228434,3.97E+11
9.317470517,24648648524
22.17873693,12856775648
-46.29747784,1.85E+12
-32.38306596,1.11E+11
-26.75633629,-16076987280
21.50127932,7946003581
27.05860552,-75134630914
8.937948213,6193754360
37.29387873,-4.30E+11
-4.600860653,-11880370586
48.3929046,-2.43E+12
-24.00385832,-12169229123
19.06691424,-1.30E+11
9.674380205,-19419188473
-22.06711008,19152667496
-22.07900873,66028219943
18.37677109,-19020434977
31.12810735,-1.14E+11
-42.37587794,1.01E+12
-13.06273061,31094698824
30.62370854,-46220496881
45.83309894,-1.74E+12
49.37348422,-2.83E+12
-7.442773233,-29013066005
-6.684700867,5242314832
-16.1554433,66331666624
-4.533215895,-25268416876
26.99752732,34893137388
25.57002809,-30636949290
49.23939332,-2.84E+12
-29.69265935,1.16E+11
-12.45830285,-49931121628
20.86701764,-29597047643
-33.6502053,1.78E+11
-17.60379472,-41546802813
30.90122493,-75975154143
-28.10431023,1.04E+11
-17.16119112,-31171482460
-3.800179586,39158553431
-14.76698333,-50689735254
-42.64604391,1.05E+12
0.519306843,-42854278456
-22.58000314,-31161306446
6.763543803,52089336474
-47.24888881,2.08E+12
11.37172584,-58719097018
-7.638803668,2381339622
14.52957193,-50384816877
-19.38819334,-88079609424
-20.92154181,-9159070369
-6.948455952,-87031002061
5.027423676,-7942166852
-37.75389545,3.17E+11
-36.95749531,3.38E+11
-27.12118021,25492601740
-39.30766001,5.63E+11
-40.69628207,7.43E+11
-31.14270943,53266277609
18.34955077,4247168222
4.148258842,8677552299
2.140692181,-35458848356
44.18165758,-1.13E+12
13.75012365,58935661509
21.85575549,36742951255
-7.555841402,700982834.7
-25.16424136,-67649424730
43.59872824,-1.24E+12
30.21284022,-1.22E+11
26.16338219,-20900799786
-43.82471602,1.20E+12
40.66538001,-7.24E+11
15.56281242,39465352960
44.79496842,-1.46E+12
4.524193019,-63639864365
-19.4681215,11755491630
-41.1484016,8.17E+11
-7.846548625,-71009393312
-13.24666324,60393608626
35.25285907,-2.73E+11
48.3923978,-2.52E+12
-44.614688,1.38E+12
-14.28648308,46472241026
49.90670422,-3.08E+12
-8.498263912,-6356457157
-11.93520192,-33196780607
-39.54204408,6.19E+11
8.961222461,-51693160071
-35.36793658,2.87E+11
-12.3424285,1.71E+11
43.6352472,-1.21E+12
20.03695411,-36303487087
-25.70658592,69870089371
24.2119399,-55825862257
-17.33622459,-29193982799
-13.00406168,-12085397984
-0.720595388,-6477781395
-29.9381587,97126585052
-21.24326812,32728879609
-20.74069282,11695686385
-7.015638989,-45285433425
-2.188719106,-16720923703
43.19200131,-1.14E+12
33.62297362,-2.09E+11
-21.00243174,76299827388
45.80750034,-1.57E+12
22.30483343,-41355182270
36.48078618,-3.40E+11
2.324984396,21634542213
-44.72312966,1.50E+12
46.00153571,-1.73E+12
17.22080352,-9167362181
-43.45332438,1.19E+12
47.91361445,-2.38E+12
-20.51549693,18384564526
44.99088464,-1.51E+12
-32.65801332,73503867837
-49.90954011,3.05E+12
37.84554378,-4.59E+11
35.05367543,-2.65E+11
-16.3591004,-29913192751
-40.16698966,7.08E+11
12.81191035,7800960806
-9.958330326,-63366077233
42.80524308,-1.12E+12
38.06056595,-4.21E+11
11.90808567,31683227601
39.39407615,-6.29E+11
-29.09466981,20620474298
-24.17022466,6479336102
-49.5875125,2.94E+12
-40.95473104,7.76E+11
9.582002323,75008644141
-20.06872727,76726529367
27.54337967,-84502608052
14.23899251,38062343659
-32.04534636,1.84E+11
-21.66598647,52581075143
-36.4145165,3.71E+11
6.349550607,22728874600
-35.57437881,2.71E+11
35.60534215,-3.22E+11
-46.95915656,2.03E+12
35.03238627,-2.27E+11
-26.71995105,71866384784
25.49364682,-1.03E+11
-44.36095672,1.33E+12
20.76464037,16617957194
-31.5878848,1.25E+11
49.460256,-2.91E+12
1.669970338,-11624562828
3.815101359,-44571898479
-22.84860044,66538702906
-12.17430195,-12331001583
1.214657277,-54670246448
1.541854518,7736988520
-3.106632123,-48593441315
-34.58328418,2.47E+11
-28.48739195,50809827310
14.5172823,43325423326
10.61391662,-68686480127
-31.76548751,1.25E+11
36.76914562,-3.51E+11
2.771810458,-39188338937
47.45376297,-2.17E+12
-21.45151828,35677188268
44.9081001,-1.53E+12
10.76053106,25558533807
27.64878072,18576806443
-43.65180399,1.21E+12
9.115701934,-90267155447
39.97575332,-6.71E+11
0.978799401,83674346809
3.283478565,-37332130885
29.85756362,-33159317184
15.50959784,-18655442134
-3.694217433,-40149189559
5.731704772,2743000045
24.30336437,-36555546776
1.43216774,39721181497
-37.92176415,4.35E+11
-23.19133295,-56814303649
42.48590126,-1.02E+12
8.939730635,-59647654161
3.922341874,78076742506
43.72652647,-1.19E+12
-24.43710417,48625886068
41.19000916,-7.51E+11
5.711613948,2595451138
23.86848869,-36322870475
18.43208441,-1.08E+11
-36.0294105,3.83E+11
47.34885823,-2.15E+12
-7.546023168,21969465955
-42.37883543,9.79E+11
-39.20738118,5.92E+11
47.22413152,-2.11E+12
7.035333924,-33966506076
-1.617511682,34230490343
14.4989753,70877978951
-28.17956238,-6541940181
19.49029205,80542515223
-25.42431414,1.22E+11
13.3619064,36969669377
46.01371408,-1.70E+12
22.64219852,-57035999485
46.96582964,-1.98E+12
26.21408986,-14294155924
2.509584081,65433435776
-5.320975529,55379978417
13.83619749,-1371283569
-19.28622129,33268705431
-5.659407171,36242988865
16.52699452,-44636713768
