X1,X2,X3,Y
0.029225582,0.896301315,1,1
0.162443658,0.476940424,1,1
0.527351742,-0.432247452,1,0
0.856420058,0.520651312,1,1
0.78870241,-0.914942794,1,0
0.171215103,0.437309065,1,1
0.605912908,0.142991635,1,1
0.756613741,0.313711809,1,1
0.495665092,-0.389527057,1,0
0.802086347,-0.969239253,1,0
0.924259993,0.781637248,1,1
0.616657544,0.055204449,1,1
0.002796254,0.659585615,1,0
0.335689293,-0.013067721,1,0
0.993041357,-1.366891302,1,0
0.566884494,0.075313342,1,1
0.964271723,-1.317246956,1,0
0.064987669,0.517991684,1,0
0.583102802,0.05310316,1,1
0.505594579,0.02362125,1,1
0.794373996,-0.946245222,1,0
0.641383551,-0.60356786,1,0
0.62256219,-0.6195863,1,0
0.196926517,0.438527979,1,1
0.941135242,0.871067671,1,1
0.717154724,-0.774573218,1,0
0.834906171,-1.037155515,1,0
0.574860124,-0.46091407,1,0
0.622323833,-0.57967103,1,0
0.754805011,-0.819688692,1,0
0.109045691,0.648742026,1,1
0.124866243,0.589480135,1,1
0.773639702,0.319231394,1,1
0.828330666,-1.004541369,1,0
0.568660195,0.105207721,1,1
0.915793178,0.776377829,1,1
0.060958609,0.566668811,1,0
0.438114298,-0.23365973,1,0
